geneId	geneSymbol	geneName	diseaseId	diseaseName	score	NumberOfPubmeds	associationType	source
1756	DMD	dystrophin	umls:C0013264	Muscular Dystrophy, Duchenne	0.865413063630181	510	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2200	FBN1	fibrillin 1	umls:C0024796	Marfan Syndrome	0.858256351526757	289	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
551	AVP	arginine vasopressin	umls:C0687720	Diabetes Insipidus, Neurogenic	0.855107808278243	76	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, RGD, UNIPROT
351	APP	amyloid beta (A4) precursor protein	umls:C0002395	Alzheimer Disease	0.852707275405662	215	AlteredExpression, Biomarker, GeneticVariation, PostTranslationalModification	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
5314	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	umls:C0085548	Polycystic Kidney, Autosomal Recessive	0.850728213743528	60	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, RGD, UNIPROT
5781	PTPN11	protein tyrosine phosphatase, non-receptor type 11	umls:C0028326	Noonan Syndrome	0.849717283052145	161	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
472	ATM	ATM serine/threonine kinase	umls:C0004135	Ataxia Telangiectasia	0.844353946410672	371	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
4221	MEN1	multiple endocrine neoplasia I	umls:C0025267	Multiple Endocrine Neoplasia Type 1	0.843737417774526	225	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
443	ASPA	aspartoacylase	umls:C0206307	Canavan Disease	0.839552918162834	50	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, RGD, UNIPROT
5009	OTC	ornithine carbamoyltransferase	umls:C0268542	Ornithine Carbamoyltransferase Deficiency Disease	0.838731368518667	71	Biomarker, GeneticVariation, Therapeutic	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, RGD, UNIPROT
411	ARSB	arylsulfatase B	umls:C0026709	Mucopolysaccharidosis VI	0.837235850643486	43	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, RGD, UNIPROT
3848	KRT1	keratin 1, type II	umls:C0079153	Hyperkeratosis, Epidermolytic	0.833012246158195	38	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, RGD, UNIPROT
6261	RYR1	ryanodine receptor 1 (skeletal)	umls:C0024591	Malignant Hyperthermia	0.831580103731914	197	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
1130	LYST	lysosomal trafficking regulator	umls:C0007965	Chediak-Higashi Syndrome	0.827342154756322	18	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, RGD, UNIPROT
4763	NF1	neurofibromin 1	umls:C0027831	Neurofibromatosis 1	0.826153871652525	225	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
6794	STK11	serine/threonine kinase 11	umls:C0031269	Peutz-Jeghers Syndrome	0.821637865423511	181	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2717	GLA	galactosidase, alpha	umls:C0002986	Fabry Disease	0.819539194854142	237	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
367	AR	androgen receptor	umls:C0039585	Androgen-Insensitivity Syndrome	0.817503914219146	148	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
7428	VHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	umls:C0019562	von Hippel-Lindau Disease	0.816103697178577	188	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
368	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	umls:C0033847	Pseudoxanthoma Elasticum	0.812244353370677	117	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
7454	WAS	Wiskott-Aldrich syndrome	umls:C0043194	Wiskott-Aldrich Syndrome	0.805889612556295	139	AlteredExpression, Biomarker, GeneticVariation, PostTranslationalModification	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
2158	F9	coagulation factor IX	umls:C0008533	Hemophilia B	0.804609242011148	291	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2670	GFAP	glial fibrillary acidic protein	umls:C0270726	Alexander Disease	0.802117160946736	92	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
4137	MAPT	microtubule-associated protein tau	umls:C0338451	Frontotemporal Dementia	0.800853607674127	343	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
4976	OPA1	optic atrophy 1 (autosomal dominant)	umls:C0338508	Optic Atrophy, Autosomal Dominant	0.800375511203846	115	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
5728	PTEN	phosphatase and tensin homolog	umls:C0018553	Hamartoma Syndrome, Multiple	0.799169633989802	195	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
410	ARSA	arylsulfatase A	umls:C0023522	Leukodystrophy, Metachromatic	0.79323610491032	162	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
3145	HMBS	hydroxymethylbilane synthase	umls:C0162565	Porphyria, Acute Intermittent	0.790294100118557	143	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
4000	LMNA	lamin A/C	umls:C0033300	Progeria	0.783157454907618	122	AlteredExpression, Biomarker, GeneticVariation, PostTranslationalModification	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
7466	WFS1	Wolfram syndrome 1 (wolframin)	umls:C0043207	Wolfram Syndrome	0.781907580362788	79	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
6647	SOD1	superoxide dismutase 1, soluble	umls:C1862939	Amyotrophic lateral sclerosis 1	0.78	426	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
2261	FGFR3	fibroblast growth factor receptor 3	umls:C0001080	Achondroplasia	0.779578366049865	110	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2548	GAA	glucosidase, alpha; acid	umls:C0017921	Glycogen Storage Disease Type II	0.775649924390883	98	AlteredExpression, Biomarker, GeneticVariation, Therapeutic	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2131	EXT1	exostosin glycosyltransferase 1	umls:C0015306	Exostoses, Multiple Hereditary	0.774681281870921	100	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
5354	PLP1	proteolipid protein 1	umls:C0205711	Pelizaeus-Merzbacher Disease	0.773917660358981	121	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
7486	WRN	Werner syndrome, RecQ helicase-like	umls:C0043119	Werner Syndrome	0.773136244499783	100	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
215	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	umls:C0162309	Adrenoleukodystrophy	0.772500137508513	131	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
3064	HTT	huntingtin	umls:C0020179	Huntington Disease	0.772303913555614	228	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, RGD
3251	HPRT1	hypoxanthine phosphoribosyltransferase 1	umls:C0023374	Lesch-Nyhan Syndrome	0.770848141046549	103	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
5727	PTCH1	patched 1	umls:C0004779	Basal Cell Nevus Syndrome	0.77020313688165	104	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
1717	DHCR7	7-dehydrocholesterol reductase	umls:C0175694	Smith-Lemli-Opitz Syndrome	0.768883187411018	82	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2235	FECH	ferrochelatase	umls:C0162568	Protoporphyria, Erythropoietic	0.768863609055893	101	Biomarker, GeneticVariation, Therapeutic	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
6519	SLC3A1	solute carrier family 3 (amino acid transporter heavy chain), member 1	umls:C0010691	Cystinuria	0.76759269054386	63	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
11136	SLC7A9	solute carrier family 7 (amino acid transporter light chain, bo,+ system), member 9	umls:C0010691	Cystinuria	0.767534762411632	44	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
641	BLM	Bloom syndrome, RecQ helicase-like	umls:C0005859	Bloom Syndrome	0.764885647900953	64	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
5080	PAX6	paired box 6	umls:C0003076	Aniridia	0.764735793942572	140	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
6261	RYR1	ryanodine receptor 1 (skeletal)	umls:C0751951	Myopathy, Central Core	0.764072995430415	88	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
538	ATP7A	ATPase, Cu++ transporting, alpha polypeptide	umls:C0022716	Menkes Kinky Hair Syndrome	0.763937072273475	83	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
860	RUNX2	runt-related transcription factor 2	umls:C0008928	Cleidocranial Dysplasia	0.763477022224114	77	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
5621	PRNP	prion protein	umls:C0017495	Gerstmann-Straussler-Scheinker Disease	0.76055232324225	105	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
19	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	umls:C0039292	Tangier Disease	0.758773300796976	95	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
6559	SLC12A3	solute carrier family 12 (sodium/chloride transporter), member 3	umls:C0268450	Gitelman Syndrome	0.757954023698035	47	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
5781	PTPN11	protein tyrosine phosphatase, non-receptor type 11	umls:C0175704	LEOPARD Syndrome	0.756721943500464	45	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
3423	IDS	iduronate 2-sulfatase	umls:C0026705	Mucopolysaccharidosis II	0.755634683633461	113	Biomarker, GeneticVariation, PostTranslationalModification	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
5376	PMP22	peripheral myelin protein 22	umls:C0393814	Tomaculous neuropathy	0.755154566691615	124	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
5172	SLC26A4	solute carrier family 26 (anion exchanger), member 4	umls:C0271829	Pendred syndrome	0.754734650427222	100	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
8878	SQSTM1	sequestosome 1	umls:C0029401	Osteitis Deformans	0.753906476154651	20	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
5979	RET	ret proto-oncogene	umls:C0025269	Multiple Endocrine Neoplasia Type 2b	0.752594128387143	90	Biomarker, GeneticVariation, PostTranslationalModification	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2690	GHR	growth hormone receptor	umls:C0271568	Laron Syndrome	0.751353151015943	75	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
6774	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	umls:C0022398	Job Syndrome	0.750962198817663	59	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
3073	HEXA	hexosaminidase A (alpha polypeptide)	umls:C0039373	Tay-Sachs Disease	0.750756689272281	75	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
6197	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3	umls:C0265252	Coffin-Lowry Syndrome	0.750748280636012	40	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
488	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	umls:C0022595	Darier Disease	0.750406847933691	30	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
4010	LMX1B	LIM homeobox transcription factor 1, beta	umls:C0027341	Nail-Patella Syndrome	0.750103276471113	42	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
695	BTK	Bruton agammaglobulinemia tyrosine kinase	umls:C0221026	Bruton type agammaglobulinemia	0.750051484429929	119	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
7450	VWF	von Willebrand factor	umls:C1264039	von Willebrand Disease, Type 1	0.74953350624834	96	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
25836	NIPBL	Nipped-B homolog (Drosophila)	umls:C0270972	De Lange Syndrome	0.749076217281564	47	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
8518	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	umls:C0013364	Dysautonomia, Familial	0.748225703571283	41	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
846	CASR	calcium-sensing receptor	umls:C0342637	Hypocalciuric hypercalcemia, familial, type 1	0.748115983397871	93	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
4023	LPL	lipoprotein lipase	umls:C0023817	Hyperlipoproteinemia Type I	0.747754483803066	112	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
7957	EPM2A	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)	umls:C0751783	Lafora Disease	0.747149613423136	56	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
4089	SMAD4	SMAD family member 4	umls:C0345893	Juvenile polyposis syndrome	0.747129057993291	66	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
1387	CREBBP	CREB binding protein	umls:C0035934	Rubinstein-Taybi Syndrome	0.746553640216835	42	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
1121	CHM	choroideremia (Rab escort protein 1)	umls:C0008525	Choroideremia	0.745937600118049	51	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
55636	CHD7	chromodomain helicase DNA binding protein 7	umls:C0265354	CHARGE Syndrome	0.745847946837122	84	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
6622	SNCA	synuclein, alpha (non A4 component of amyloid precursor)	umls:C0752347	Lewy Body Disease	0.744227675523858	22	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
3784	KCNQ1	potassium channel, voltage gated KQT-like subfamily Q, member 1	umls:C0022387	Jervell-Lange Nielsen Syndrome	0.743718594515898	34	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2138	EYA1	EYA transcriptional coactivator and phosphatase 1	umls:C0265234	Branchio-Oto-Renal Syndrome	0.7436695635573	42	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
2581	GALC	galactosylceramidase	umls:C0023521	Leukodystrophy, Globoid Cell	0.742700432499978	67	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
3920	LAMP2	lysosomal-associated membrane protein 2	umls:C0878677	Glycogen Storage Disease Type IIb	0.741968536136738	35	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
6262	RYR2	ryanodine receptor 2 (cardiac)	umls:C1631597	Polymorphic catecholergic ventricular tachycardia	0.741546347327119	77	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
7132	TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A	umls:C1275126	Periodic fever, familial, autosomal dominant	0.741360904674222	62	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
1311	COMP	cartilage oligomeric matrix protein	umls:C0410538	Pseudoachondroplasia	0.741360904674222	60	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
5781	PTPN11	protein tyrosine phosphatase, non-receptor type 11	umls:C0349639	Leukemia, Myelomonocytic, Juvenile	0.740657972377095	38	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
6949	TCOF1	Treacher Collins-Franceschetti syndrome 1	umls:C0242387	Mandibulofacial Dysostosis	0.740041932278309	47	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
1244	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	umls:C0022350	Jaundice, Chronic Idiopathic	0.739984004146082	29	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, RGD, UNIPROT
3074	HEXB	hexosaminidase B (beta polypeptide)	umls:C0036161	Sandhoff Disease	0.7397784946007	35	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
3640	INSL3	insulin-like 3 (Leydig cell)	umls:C0010417	Cryptorchidism	0.73952346555936	31	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
34	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	umls:C0220710	Medium chain acyl CoA dehydrogenase deficiency	0.739288991947865	33	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
8910	SGCE	sarcoglycan, epsilon	umls:C1834570	Myoclonic dystonia	0.738711301626182	67	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
189	AGXT	alanine-glyoxylate aminotransferase	umls:C0268164	Primary hyperoxaluria type 1	0.738144292485995	69	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
8291	DYSF	dysferlin	umls:C1850808	Miyoshi myopathy	0.737860787915901	64	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
6899	TBX1	T-box 1	umls:C0012236	DiGeorge Syndrome	0.737802859783674	48	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
6662	SOX9	SRY (sex determining region Y)-box 9	umls:C1861922	Campomelic Dysplasia	0.737548319279694	58	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
5172	SLC26A4	solute carrier family 26 (anion exchanger), member 4	umls:C1863752	Enlarged Vestibular Aqueduct	0.737342809734312	53	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
2261	FGFR3	fibroblast growth factor receptor 3	umls:C1868678	Thanatophoric Dysplasia, Type I	0.73701027420562	60	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
1861	TOR1A	torsin family 1, member A (torsin A)	umls:C1851945	Dystonia musculorum deformans type 1	0.736443265065433	58	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
1287	COL4A5	collagen, type IV, alpha 5	umls:C1567742	ALPORT SYNDROME, X-LINKED	0.736159760495339	71	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
10020	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	umls:C1853926	Distal myopathy, Nonaka type	0.736159760495339	57	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
6910	TBX5	T-box 5	umls:C0265264	Holt-Oram syndrome	0.735407308702254	39	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
3664	IRF6	interferon regulatory factor 6	umls:C0175697	Van der Woude syndrome	0.735358277743656	46	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
5156	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	umls:C0238198	Gastrointestinal Stromal Tumors	0.735347648398811	275	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, UNIPROT
2538	G6PC	glucose-6-phosphatase, catalytic subunit	umls:C0017920	Glycogen Storage Disease Type I	0.734762304537355	47	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2990	GUSB	glucuronidase, beta	umls:C0085132	Mucopolysaccharidosis VII	0.734742237644871	56	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
7390	UROS	uroporphyrinogen III synthase	umls:C0162530	Porphyria, Erythropoietic	0.734713273578757	47	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
3265	HRAS	Harvey rat sarcoma viral oncogene homolog	umls:C0587248	Costello Syndrome	0.734175228504683	53	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
4627	MYH9	myosin, heavy chain 9, non-muscle	umls:C1854520	MYH9-Related Disorders	0.73389172393459	49	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
445	ASS1	argininosuccinate synthase 1	umls:C0175683	Citrullinemia	0.733862759868476	44	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
2263	FGFR2	fibroblast growth factor receptor 2	umls:C0010273	Craniofacial Dysostosis	0.733862759868476	41	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
686	BTD	biotinidase	umls:C0220754	Biotinidase Deficiency	0.733853862694847	19	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
3081	HGD	homogentisate 1,2-dioxygenase	umls:C0002066	Alkaptonuria	0.733833795802362	34	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, LHGDN, MGD, UNIPROT
2697	GJA1	gap junction protein, alpha 1, 43kDa	umls:C0812437	Oculodentodigital Dysplasia	0.733608219364496	48	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
825	CAPN3	calpain 3, (p94)	umls:C1869123	Limb-girdle muscular dystrophy type 2A	0.733608219364496	54	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
7299	TYR	tyrosinase	umls:C0268494	Oculocutaneous albinism type 1	0.733324714794402	48	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
657	BMPR1A	bone morphogenetic protein receptor, type IA	umls:C0345893	Juvenile polyposis syndrome	0.733139272141505	32	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, UNIPROT
2705	GJB1	gap junction protein, beta 1, 32kDa	umls:C0393808	Charcot-Marie-Tooth disease, X-linked, 1	0.733041210224309	46	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, MGD, UNIPROT
3931	LCAT	lecithin-cholesterol acyltransferase	umls:C0023195	Lecithin Acyltransferase Deficiency	0.7327777725467	30	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
